timestamp,generation,eval_id,cat,x1,x2,x3,x4,x5,x6,x7,x8,x9,objective,phase
1761086286.5551786,26,2293,medio,100,99,100,100,98,100,100,99,100,972.7734930331148,PS_end
1761086286.5551786,26,2294,medio,100,100,100,100,98,100,100,99,100,973.7405029507361,PS_end
1761086286.5551786,27,2295,medio,100,100,100,100,100,100,99,100,100,975.7356422338105,GA
1761086286.5551786,27,2296,medio,100,100,100,99,100,100,100,97,100,972.65182723049,GA
1761086286.5551786,27,2297,medio,100,100,100,99,100,100,100,97,99,971.6848173128689,GA
1761086286.5551786,27,2298,medio,100,99,100,98,98,100,100,99,100,970.7783537500404,GA
1761086286.5551786,27,2299,medio,100,100,100,100,98,97,100,99,100,970.6566879474155,GA
1761086286.5551786,27,2300,medio,99,100,100,96,100,99,100,100,100,970.5374018707637,GA
1761086286.5551786,27,2301,medio,100,100,100,100,96,100,100,98,100,970.4762824229315,GA
1761086286.5551786,27,2302,medio,100,100,100,99,98,97,100,99,100,969.6896780297943,GA
1761086286.5551786,27,2303,medio,99,99,99,98,98,100,100,100,100,969.8113438324193,GA
1761086286.5551786,27,2304,medio,100,99,95,96,100,100,100,100,100,966.0700295444246,GA
1761086286.5551786,27,2305,medio,100,100,98,97,100,95,100,95,81,936.2717898060502,GA
1761086286.5551786,27,2306,baixo,100,95,100,98,98,99,100,100,100,946.3109814237014,GA
1761086286.5551786,27,2307,medio,97,100,97,99,19,100,100,100,100,886.8443150582937,GA
1761086286.5551786,27,2308,baixo,100,100,100,98,100,100,100,97,100,951.6236978650367,GA
1761086286.5551786,27,2309,medio,97,100,100,98,96,99,100,97,100,963.3416424986692,GA
1761086286.5551786,27,2310,medio,100,96,100,100,98,100,100,97,100,967.392467419611,GA
1761086286.5551786,27,2311,medio,100,100,99,100,96,100,21,98,100,887.9656711793309,GA
1761086286.5551786,27,2312,alto,100,100,99,100,96,100,100,98,100,964.5092725053104,GA
1761086286.5551786,27,2313,medio,100,100,100,99,100,100,100,100,100,975.7356422338105,GA
1761086286.5551786,27,2314,medio,99,98,99,94,100,100,100,97,100,963.0005465397933,GA
1761086286.5551786,27,2315,alto,100,100,100,99,100,100,100,97,100,967.65182723049,GA
1761086286.5551786,27,2316,medio,100,100,97,98,100,98,100,92,100,960.2968422496723,GA
1761086286.5551786,27,2317,medio,100,99,99,99,100,98,100,97,100,968.7226681121732,GA
1761086286.5551786,27,2318,medio,95,100,100,96,100,100,100,100,100,967.0370394620458,GA
1761086286.5551786,27,2319,medio,100,100,100,98,100,100,100,95,100,969.273130624397,GA
1761086286.5551786,27,2320,medio,100,100,99,96,100,98,99,99,100,967.575252670068,GA
1761086286.5551786,27,2321,medio,100,95,100,98,98,100,100,100,58,925.0357562723254,GA
1761086286.5551786,27,2322,medio,100,100,99,98,97,99,100,97,100,966.6058630264738,GA
1761086286.5551786,27,2323,medio,100,100,100,99,100,100,100,97,99,971.6848173128689,GA
1761086286.5551786,27,2324,medio,97,95,99,98,98,100,100,100,100,963.2271664203809,GA
1761086286.5551786,27,2325,medio,97,100,100,99,95,99,100,100,95,960.8160528249484,GA
1761086286.5551786,27,2326,medio,100,100,100,99,100,100,100,97,100,972.65182723049,GA
1761086286.5551786,27,2327,medio,100,44,100,99,18,98,100,100,100,831.4334777251366,GA
1761086286.5551786,27,2328,medio,100,100,100,100,100,100,99,99,100,974.7686323161894,GA
1761086286.5551786,27,2329,medio,100,100,99,30,96,100,100,97,95,887.2882123580126,GA
1761086286.5551786,27,2330,medio,97,100,100,99,100,100,100,98,100,970.6566879474155,GA
1761086286.5551786,27,2331,medio,100,79,100,100,97,97,100,97,95,935.1752520473315,GA
1761086286.5551786,27,2332,medio,100,100,100,99,95,94,100,97,100,960.5283134965287,GA
1761086286.5551786,27,2333,medio,99,99,100,96,100,100,99,99,63,929.8727761410876,GA
1761086286.5551786,27,2334,medio,100,100,99,96,100,100,100,98,100,969.5092725053104,GA
1761086286.5551786,27,2335,medio,100,98,100,96,100,99,100,100,100,969.5092725053104,GA
1761086286.5551786,27,2336,medio,99,100,100,98,100,100,100,95,100,968.3061207067759,GA
1761086286.5551786,27,2337,medio,100,100,100,91,92,99,100,97,98,950.6185113754465,GA
1761086286.5551786,27,2338,medio,100,100,100,99,95,100,100,99,100,969.3342500722292,GA
1761086286.5551786,27,2339,medio,100,95,99,96,100,99,98,100,100,963.107880343729,GA
1761086286.5551786,27,2340,medio,100,100,95,98,97,99,100,97,100,962.1384907001348,GA
1761086286.5551786,27,2341,medio,100,100,100,99,100,100,100,97,100,972.65182723049,GA
1761086286.5551786,27,2342,medio,90,100,100,99,100,100,100,97,100,960.5449422903831,GA
1761086286.5551786,27,2343,medio,75,100,100,98,97,100,100,98,100,938.7795016237224,GA
1761086286.5551786,27,2344,medio,100,100,99,100,75,99,100,97,100,940.8357603546289,GA
1761086286.5551786,27,2345,medio,24,100,100,99,100,100,100,100,100,895.9195133214047,GA
1761086286.5551786,27,2346,baixo,100,100,98,98,100,100,100,95,100,947.2779913413226,GA
1761086286.5551786,27,2347,medio,100,100,100,98,100,100,100,98,100,972.7123735852828,GA
1761086286.5551786,27,2348,medio,100,100,99,100,96,100,100,95,98,964.0748902613501,GA
1761086286.5551786,27,2349,medio,100,100,14,99,100,100,100,100,100,889.4965731641284,GA
1761086286.5551786,27,2350,medio,100,100,97,96,100,99,98,97,100,963.3416424986692,GA
1761086286.5551786,27,2351,alto,100,99,99,96,98,100,95,99,100,957.1408704261078,GA
1761086286.5551786,27,2352,medio,100,99,95,98,100,100,92,97,100,955.8905893711654,GA
1761086286.5551786,27,2353,medio,98,99,100,99,95,100,100,97,100,964.2552957858342,GA
1761086286.5551786,27,2354,medio,100,100,97,98,100,99,100,97,100,967.5728729440949,GA
1761086286.5561793,27,2355,medio,100,100,100,99,95,100,100,97,99,966.2504350689086,GA
1761086286.5561793,27,2356,medio,100,100,98,100,96,100,100,98,100,968.4811431398571,GA
1761086286.5561793,27,2357,alto,100,96,18,100,98,100,100,97,100,879.0448166166539,GA
1761086286.5561793,27,2358,medio,100,96,100,98,98,100,100,97,100,965.3973281365365,GA
1761086286.5561793,27,2359,medio,99,100,100,99,98,97,100,99,100,968.7226681121732,GA
1761086286.5561793,27,2360,medio,100,100,100,96,100,100,100,100,100,972.471421706006,GA
1761086286.5561793,27,2361,alto,100,100,99,82,100,99,95,92,95,926.3432258351678,GA
1761086286.5561793,27,2362,medio,100,95,99,49,100,99,98,100,100,915.343109235152,GA
1761086286.5561793,27,2363,alto,92,100,100,99,100,100,100,97,100,958.3201108982,GA
1761086286.5561793,27,2364,medio,97,100,100,100,96,100,100,96,96,960.925145811834,GA
